Department,Task,Prompt,App,Level,Est. Time Saved (min)
Engineering,Build a K-number project brief,"For K-number [K-NUMBER], search the approved project locations and build a current project brief with customer, equipment or product, latest drawing revision, BOM revision, open engineering decisions, quoted scope, promised dates, and links to each source. Separate confirmed facts from unresolved questions. If two files conflict, show both revisions and flag the conflict instead of choosing one.",Teams,Verified pattern,35
Engineering,Review an engineering change,"Compare the proposed engineering change with the currently released drawing and BOM. List every change to dimensions, tolerances, materials, purchased components, inspection requirements, work instructions, and service documentation. Cite the source page or row for each finding, identify downstream teams that may be affected, and leave approval decisions to the responsible engineer.",Word,Field prompt,45
Service,Prepare a field-service dispatch brief,"Using the service request, equipment model and serial number, prior service history, and approved manuals, create a one-page dispatch brief with the reported symptom, relevant past repairs, warranty status, required tools or parts, manual-backed diagnostic checks, and questions to confirm on arrival. Cite the manual section for every procedure and do not recommend bypassing guards, lockout procedures, or other safety controls.",Copilot Chat,Field prompt,25
Service,Standardize a technician closeout,"Turn these technician notes into a service closeout with customer concern, findings, work performed, parts used, tests completed, final equipment status, and recommended follow-up with an owner and date. Preserve model numbers, serial numbers, measurements, and part numbers exactly. Mark missing information as not recorded and do not invent a root cause.",Word,Field prompt,20
Parts,Triage production-critical shortages,"Analyze this parts inventory and open-order export. Produce a table of shortages that could affect scheduled production in the next 14 days with part number, description, affected work order, quantity required, quantity available, open purchase-order quantity, promised date, and risk level. Treat unapproved alternates as unavailable and list the records used for each conclusion.",Excel,Field prompt,40
Parts,Answer a replacement-part request,"Using the equipment serial number, released BOM, approved supersession log, and current inventory file, identify the specified service part, latest approved replacement, revision, quantity available, and expected replenishment date. Show the source for every part-number match. If the serial range or configuration is ambiguous, stop and list the questions a parts specialist must resolve before fulfillment.",Copilot Chat,Field prompt,20
Sales,Convert an RFQ into an engineering handoff,"Read this RFQ, customer email thread, and attachments. Create a handoff table with requested configuration, performance requirements, dimensions, materials, delivery date, documentation requirements, commercial assumptions, exclusions, and unanswered questions. Include a source reference for each requirement and do not turn preferences or prior-project details into commitments.",Word,Field prompt,35
Sales,Prepare a manufacturing opportunity review,"Using this opportunity record, meeting notes, quote history, and recent emails, prepare a one-page review with customer objective, proposed equipment or scope, quoted value, target close date, technical dependencies, capacity or lead-time risks, competitor information explicitly stated by the customer, and the next action with owner and date. Do not infer buying intent or promise delivery dates.",Copilot Chat,Field prompt,25
Production,Create a shift handoff,"Turn these shift notes, downtime entries, and production counts into a handoff with plan versus actual by work center, downtime event and duration, scrap or rework, material constraints, safety or quality holds, and open actions for the next shift with owners. Keep safety and quality holds at the top and label any missing cause as not yet confirmed.",Teams,Field prompt,15
Production,Build a schedule-recovery scenario,"Using the current production schedule, available labor, machine capacity, material availability, and due dates, identify orders at risk and propose three recovery scenarios. For each scenario show the work-order sequence, constraint addressed, expected schedule impact, overtime assumption, and new risk created. Do not move a quality hold, skip an operation, or assume unavailable labor or material.",Excel,Field prompt,50
Safety,Retrieve an approved safety procedure,"Find the current approved procedure for [TASK OR EQUIPMENT] and return its title, document owner, revision, effective date, required PPE, prerequisites, ordered steps, stop-work conditions, and a direct source link. Quote critical warnings exactly and cite the section for each instruction. If the current revision cannot be verified or the request conflicts with site rules, say so and direct the user to EHS or a supervisor before work begins.",Teams,Verified pattern,15
Safety,Check employee certification status,"Using the authorized certification roster and role-requirement matrix, answer whether [EMPLOYEE OR ROLE] currently meets the requirements for [TASK]. List each required certification, status, expiration date, and renewal window. Do not infer qualifications from job title, expose unrelated employee records, or authorize work; flag missing, expired, or conflicting data for EHS review.",Excel,Verified pattern,20
Purchasing,Compare supplier quotes for a production buy,"Compare these supplier quotes for part [PART NUMBER] and required quantity [QTY]. Normalize unit price, tooling, freight, minimum order, lead time, payment terms, warranty, country of origin, and total landed cost. Show the calculation assumptions, mark unstated terms as not stated, and flag any material or revision mismatch before ranking the options.",Excel,Field prompt,40
Purchasing,Escalate an overdue production purchase order,"Draft a supplier escalation for purchase order [PO NUMBER] tied to work order [WORK ORDER]. State the ordered quantity, acknowledged date, current promised date, production need date, and operational impact using only the supplied records. Ask for confirmed ship date, partial-shipment options, and cause of delay. Keep the tone firm and professional and do not threaten penalties not stated in the contract.",Outlook,Field prompt,12
Accounting,Explain job-margin variance by K-number,"For K-number [K-NUMBER], compare quoted and actual labor, material, outside processing, freight, and overhead. Calculate dollar and percentage variance by category, identify the three largest drivers, and link each driver to the supporting transaction or time record. Separate timing differences from confirmed overruns and do not speculate about operational causes.",Excel,Field prompt,35
Accounting,Review invoice exceptions,"Compare this supplier invoice with the purchase order and receiving record. Produce an exception table for quantity, unit price, freight, tax, payment terms, part number, and receipt status. Calculate the disputed amount, cite the source cell or document section, and draft a concise follow-up. Do not approve payment or assume an unmatched line is valid.",Excel,Field prompt,25
Leadership,Create the weekly Copilot adoption report,"Using the authorized Viva Insights export, create an aggregated weekly adoption report based on the documented rolling 28-day measurement contract. Show licensed-and-onboarded users, active users, active rate, department trends where privacy thresholds permit, app breadth, dormant-license count, top validated use cases, and estimated time saved with assumptions. State the source date, denominator, exclusions, and active-user definition; do not publish employee-level activity.",Excel,Verified pattern,45
Leadership,Turn operating data into an executive brief,"Using the weekly production, safety, quality, service, sales, and cash reports, write a one-page executive brief with five sections: results against plan, material changes from last week, risks requiring a decision, cross-functional dependencies, and actions with owners and dates. Preserve source figures exactly, cite the report behind each claim, and distinguish confirmed causes from management questions.",Word,Field prompt,50
