Department,Task,Prompt,App,Level,Est. Time Saved (min)
Customer Service,Turn a long email thread into a status summary,"Summarize this email thread into a status update for a colleague picking it up cold: what the customer wants, what we've committed to, what's outstanding, and the next action with an owner. Keep it under 150 words. Don't add commitments that aren't in the thread.",Outlook,Starter,10
Customer Service,Draft a response to a frustrated customer,"Draft a reply to this email. Tone: direct, accountable, no defensiveness. Acknowledge the specific issue, state what we're doing, give a concrete date. Do not apologize more than once. Keep it under 120 words.",Outlook,Starter,8
Customer Service,Build an FAQ from recurring tickets,"Here are 20 support requests from the last month. Group them into themes, and for each theme write a one-paragraph FAQ answer in plain language at an 8th-grade reading level. Flag any theme that suggests a product problem rather than a knowledge gap.",Copilot Chat,Intermediate,45
Engineering,Extract requirements from a customer spec,"Read this specification and produce a table of every stated requirement with columns: requirement, section reference, type (dimensional / material / performance / documentation), and whether it's a hard requirement or a preference. Do not infer requirements that aren't explicitly stated. List anything ambiguous separately.",Word,Intermediate,60
Engineering,Compare two revisions of a document,"Compare these two document revisions. List every substantive change in a table with the section, what changed, and the likely impact. Ignore formatting and grammar changes. Flag any change that affects tolerances, materials, or acceptance criteria.",Word,Intermediate,40
Engineering,Draft a design review agenda from a project folder,"Based on these project documents, draft a design review agenda covering open decisions, unresolved risks, and items needing sign-off. Assign an estimated time per item for a 60-minute meeting.",Copilot Chat,Starter,20
Finance,Explain a variance,"This table shows budget vs. actual by line item. Identify the five largest variances by dollar value, and for each state the direction, magnitude, and percentage. Do not speculate about causes. Present as a table ordered by absolute dollar variance.",Excel,Starter,25
Finance,Draft a month-end commentary,"Using this variance table, write a month-end commentary of no more than 300 words for a non-financial audience. Lead with the overall result, then the three drivers that explain most of the variance. Flag anything that looks like a timing difference rather than a real change.",Word,Intermediate,45
Finance,Reconcile two lists,"Compare these two lists of transactions and produce three tables: items in both (matched), items only in list A, and items only in list B. Match on [FIELD]. Note any near-matches that might be the same item entered differently.",Excel,Intermediate,50
Human Resources,Draft a job posting from a role description,"Turn these notes into a job posting: a two-sentence role summary, six responsibilities, required vs. preferred qualifications separated clearly, and a plain-language description of the work environment. Avoid superlatives and buzzwords. No 'rockstar' or 'ninja'.",Word,Starter,35
Human Resources,Summarize interview notes against criteria,"Summarize these interview notes against the following criteria: [CRITERIA]. For each criterion, state the evidence from the notes and whether it's strong, adequate, or not addressed. Do not infer beyond what was recorded.",Word,Intermediate,25
Human Resources,Turn a policy into an employee-facing summary,"Rewrite this policy as a one-page employee summary at an 8th-grade reading level. Structure it as: what this means for you, what you need to do, who to ask. Preserve every deadline and dollar figure exactly. Note anything you simplified that a reader might need the full text for.",Word,Intermediate,50
Information Technology,Write a change record from a ticket thread,"From this ticket thread, draft a change record with: description of change, systems affected, risk level with justification, rollback plan, and required approvals. Flag anything the thread doesn't establish.",Copilot Chat,Intermediate,30
Information Technology,Turn a fix into a knowledge base article,"Convert this troubleshooting conversation into a KB article: symptom, cause, resolution steps numbered, and how to verify the fix. Write the steps so a first-line tech with no context can follow them.",Word,Starter,25
Information Technology,Draft a maintenance notification,"Draft a maintenance window notification for end users. Include what's affected, exactly when, what they should do before and after, and who to contact. Keep it under 100 words. No jargon.",Outlook,Starter,10
Maintenance,Turn walk-through notes into a punch list,"Convert these inspection notes into a prioritized punch list. Columns: item, location, severity (safety / production-impacting / housekeeping), and recommended action. Put anything safety-related at the top regardless of other factors.",Copilot Chat,Starter,30
Maintenance,Summarize a repair history,"Summarize this equipment repair history: recurring failure modes, mean time between the repeat failures, parts replaced more than once, and whether the pattern suggests a root cause rather than isolated incidents. State clearly if the data is too sparse to conclude anything.",Excel,Advanced,60
Maintenance,Build a PM checklist from a manual,"From this equipment manual, extract every recommended preventive maintenance task into a checklist grouped by interval (daily / weekly / monthly / annual). Include the manual's page reference for each item. Do not add tasks the manual doesn't specify.",Word,Intermediate,90
Manufacturing Operations,Summarize a shift handoff,"Turn these shift notes into a handoff summary: production against plan, downtime events with duration and cause, quality issues, and open items for the next shift with owners. Keep it under 200 words.",Copilot Chat,Starter,15
Manufacturing Operations,Prepare for a problem-solving session,"I'm running a root cause session on this issue: [PROBLEM]. Draft a starting fishbone across people, process, equipment, material, environment, and measurement. For each branch give two or three candidate causes phrased as testable statements, not conclusions.",Copilot Chat,Intermediate,30
Manufacturing Operations,Write a work instruction,"Turn these process notes into a work instruction: purpose, required tools and PPE, numbered steps with one action per step, quality checkpoints, and what to do if a check fails. Write for someone on their first day.",Word,Intermediate,75
Marketing,Repurpose long content into channel posts,"Turn this article into three posts: one long-form professional post (200 words), one short post (60 words), and one email subject line with two alternates. Keep every technical claim accurate to the source. Don't add claims that aren't in the article.",Copilot Chat,Starter,40
Marketing,Draft a case study outline from an interview,"From this customer interview transcript, draft a case study outline: situation, problem, what we did, measurable result, and two direct quotes worth using verbatim. Note which claims need customer approval before publication.",Word,Intermediate,50
Marketing,Build a competitive comparison from public sources,"Compare these product descriptions across the following attributes: [ATTRIBUTES]. Present as a table. Where a source doesn't state an attribute, write 'not stated' rather than inferring. Note where the sources use different definitions for the same term.",Excel,Intermediate,60
Purchasing,Compare supplier quotes,"Compare these quotes in a table: unit price, minimum order quantity, lead time, payment terms, freight terms, and warranty. Normalize to a common unit and total landed cost where possible. Call out anything a quote leaves unstated rather than assuming a default.",Excel,Intermediate,45
Purchasing,Draft a supplier follow-up,"Draft an email to a supplier asking for status on an overdue order. Tone: firm, professional, not adversarial. Reference the commitment date, ask for a revised date, and ask what changed. Keep it under 100 words.",Outlook,Starter,8
